domain,label,latency,loss,delta_min,delta_mean,delta_max,jitter_min,jitter_mean,jitter_max,emodel
ctran,2.0,266.31,0.132,0.0,23.035,3921.21,0.007,5.923,65.488,3.923244245153019
ctran,2.0,405.13,0.19,6.552,24.685,4671.561,0.649,7.215,103.545,3.025792511251945
ctran,2.0,405.43,0.185,6.484,24.541,4371.241,0.205,8.204,103.385,3.0248371946753387
ctran,3.0,259.21,0.13,5.479,22.983,4679.408,0.711,6.62,66.312,3.961699493419153
ctran,3.0,153.81,0.054000000000000006,2.166,21.14,4802.299,0.095,5.81,41.602,4.3454753666225185
ctran,4.0,82.77,0.03,6.715,20.62,2730.505,0.557,3.872,21.151,4.386540715736048
ctran,4.5,28.33,0.0,7.711,20.0,32.692,0.007,3.74,5.58,4.415395598058727
ctran,4.5,157.43,0.0,6.426,20.0,33.784,0.594,3.585,5.701,4.349193718338434
ctran,4.0,154.11,0.04,7.703,20.831,3241.732,0.099,3.656,52.801,4.346806477801884
ctran,3.0,80.84,0.069,6.755,21.473,3000.056,0.542,4.084,21.378,4.383815213095546
ctran,2.5,80.39,0.096,6.804,22.126,3130.576,0.03,6.077,24.106,4.381466641547253
ctran,2.5,82.45,0.158,6.618,23.756,4030.146,0.618,6.047,24.888,4.374403121038378
ctran,2.0,256.33,0.157,6.811,23.737,4161.557,0.217,4.275,63.311,3.972220728591314
ctran,2.0,405.61,0.18,6.787,24.387,4450.305,0.611,6.757,101.839,3.0247214216897036
ctran,3.0,25.05,0.095,6.855,22.105,3361.991,0.058,3.755,5.836,4.408788133037194
ctran,4.0,31.96,0.057,7.597,21.202,2688.275,0.063,3.82,5.868,4.4088508447191765
ctran,4.5,14.26,0.031,7.359,20.627,2710.57,0.025,5.882,6.595,4.419097897561877
ctran,2.5,79.17,0.141,6.792,23.287,12259.119,0.624,4.769,23.348,4.377779483401037
ctran,2.5,79.53,0.109,0.0,22.405,3519.366,1.25,6.173,24.753,4.3806671702497875
ctran,3.0,80.29,0.061,4.489,21.297,2770.865,0.549,4.631,21.875,4.384859481619241
ctran,4.0,157.28,0.033,7.53,20.688,2922.076,0.013,3.39,38.53,4.34573079228223
ctran,4.5,174.01,0.0,6.865,20.0,33.843,0.003,3.66,6.002,4.3395816852121545
ctran,2.0,177.45,0.122,6.758,22.789,4041.109,0.615,6.17,40.634,4.323532548449854
ctran,2.5,288.46,0.11,6.406,22.475,3150.37,0.017,6.166,41.45,3.8028532460707454
ctran,3.0,255.89,0.063,6.752,21.342,5060.778,0.001,5.136,62.359,3.9907556399104105
ctran,4.0,157.12,0.049,7.68,21.04,3860.045,0.125,3.681,61.518,4.344097110476205
ctran,4.5,255.44,0.0,3.349,20.0,32.949,0.043,5.844,6.939,4.003964815492546
ctran,4.5,10.24,0.0,7.708,19.998,32.615,0.693,5.248,6.586,4.423406349373873
ctran,4.0,99.36,0.026000000000000002,7.666,20.544,2179.901,0.62,3.482,20.392,4.378359486069694
ctran,3.0,155.12,0.077,7.482,21.664,3288.418,0.214,3.619,39.773,4.34223528493891
ctran,2.5,257.79,0.115,7.651,22.599,3501.259,0.066,4.212,63.72,3.971811591632045
ctran,2.0,405.35,0.14800000000000002,6.651,23.483,5300.462,0.119,6.181,101.166,3.033866232512852
ctran,4.5,98.97,0.0,7.635,20.0,32.987,0.009,5.908,6.666,4.3810993164763286
ctran,4.0,406.39,0.0,6.904,20.0,32.994,0.0,3.499,5.605,3.0609046877135135
ctran,3.0,404.89,0.039,7.689,20.808,2760.144,0.016,3.847,96.06,3.0622571673908
ctran,2.5,408.62,0.16899999999999998,6.732,24.058,4969.228,0.046,6.624,100.717,3.0061852637736552
ctran,2.0,10.04,0.09699999999999999,6.71,22.161,3620.849,0.018,3.334,5.572,4.415501052553236
ctran,2.0,405.06,0.171,0.0,24.1,3970.995,1.25,7.612,100.921,3.030622655258389
ctran,2.5,255.48,0.111,7.592,22.506,3158.57,0.056,4.145,62.852,3.9846077303114447
ctran,3.0,155.42,0.06,7.584,21.284,2400.28,0.056,3.502,38.672,4.3438964248102545
ctran,4.0,102.29,0.033,6.669,20.693,2770.796,0.586,3.555,30.927,4.376132114493156
ctran,4.5,20.11,0.0,7.537,19.998,32.979,0.553,5.766,6.653,4.4190752853859685
ctran,4.5,11.12,0.0,7.67,19.998,32.651,0.028,5.979,6.893,4.423024074688072
ctran,4.0,90.09,0.027000000000000003,6.751,20.561,2301.122,0.116,4.828,21.953,4.383078619732576
ctran,3.0,168.26,0.06,6.883,21.281,2741.783,0.044,5.767,41.286,4.336368897631527
ctran,3.0,261.1,0.11,7.568,22.465,3300.471,0.012,6.545,64.226,3.9551654718560347
ctran,2.5,404.63,0.162,0.0,23.88,3321.666,0.098,4.561,96.994,3.0356857598120426
ctran,4.5,26.64,0.0,6.926,19.998,32.391,0.491,4.231,6.314,4.4161575024728
ctran,4.0,23.41,0.043,6.81,20.902,3801.019,0.646,3.472,6.522,4.413983253891914
ctran,4.0,23.53,0.086,7.631,21.878,2559.541,0.147,5.898,7.603,4.410266126758416
ctran,3.0,406.54,0.168,6.635,24.046,3841.473,0.648,7.618,101.94,3.020965571975208
ctran,2.5,255.68,0.15,6.812,23.521,4020.198,0.631,5.742,65.646,3.976842535519699
ctran,4.5,156.44,0.0,6.675,20.0,33.689,0.745,5.803,6.726,4.3497598803894935
ctran,4.0,155.14,0.037000000000000005,6.754,20.764,2968.299,0.065,3.552,39.507,4.346535214580277
ctran,3.0,80.17,0.071,6.773,21.53,3231.895,0.61,3.476,21.089,4.3839687967656475
ctran,2.5,80.15,0.002,0.001,20.025,171.046,1.25,3.751,21.383,4.390511080529696
ctran,2.5,80.65,0.044000000000000004,3.164,20.907,3860.812,0.911,5.073,23.374,4.386290937625041
ctran,2.0,13.43,0.109,7.518,22.454,2899.485,0.056,5.715,7.361,4.412955204536573
ctran,2.5,408.38,0.078,6.754,21.686,3511.178,0.683,6.135,95.844,3.0288475030567206
ctran,3.0,406.69,0.042,6.897,20.885,3801.6,0.576,6.277,101.256,3.0490109394566485
ctran,4.0,405.23,0.0,6.859,19.998,33.499,0.064,5.823,6.878,3.068984385153672
ctran,4.5,80.26,0.0,7.544,19.997,33.019,0.596,5.858,6.77,4.390643944777752
ctran,4.5,254.6,0.0,6.769,19.998,33.008,0.005,3.604,5.889,4.008278270795547
ctran,4.0,152.65,0.034,7.574,20.705,2518.045,0.007,5.738,66.1,4.348289014315148
ctran,3.0,258.16,0.064,6.783,21.368,2761.064,0.688,5.236,65.538,3.978742434583623
ctran,2.5,280.71,0.121,0.0,22.754,3400.402,0.086,4.013,39.337,3.8452429780409694
ctran,2.0,154.97,0.111,5.471,22.499,3529.577,0.061,5.702,41.042,4.3386404867182815
ctran,2.0,404.15,0.17600000000000002,6.755,24.273,3497.161,0.53,5.546,101.173,3.0358357203212445
ctran,3.0,254.89,0.12,6.845,22.738,4000.384,0.637,6.089,64.83,3.9861348041961517
ctran,3.0,170.83,0.068,7.581,21.461,5648.115,0.585,5.88,40.435,4.333960835785376
ctran,4.0,79.89,0.028999999999999998,6.75,20.604,2469.144,0.575,5.963,23.608,4.388097207689041
ctran,4.5,12.53,0.0,7.728,20.0,33.376,0.038,3.931,5.82,4.422409980853578
ctran,4.5,80.14,0.0,7.769,20.0,32.747,0.548,3.824,6.408,4.390704100733831
ctran,4.0,406.29,0.0,6.662,19.998,33.648,0.551,5.955,6.852,3.0616014519636168
ctran,3.0,405.56,0.055999999999999994,7.578,21.177,4920.014,0.012,4.024,100.072,3.053636592932846
ctran,2.5,405.44,0.078,6.797,21.7,3591.242,0.576,6.315,103.221,3.049372433225496
ctran,2.0,12.09,0.11699999999999999,7.635,22.657,3931.161,0.019,5.848,7.453,4.412893519106506
ctran,2.0,404.72,0.221,5.323,25.67,6890.251,0.839,4.977,100.894,3.021598977090306
ctran,2.5,255.26,0.136,7.795,23.147,4300.599,0.003,3.744,62.951,3.981452067182185
ctran,3.0,169.57,0.06,7.674,21.27,5291.505,0.644,3.346,40.925,4.335592684265572
ctran,4.0,80.14,0.027999999999999997,6.813,20.584,2479.459,0.002,4.535,6.738,4.388065169889133
ctran,4.5,35.28,0.0,7.698,19.997,32.31,0.136,3.533,5.742,4.412233163808132
ctran,4.5,23.5,0.0,7.591,19.998,32.756,0.017,5.925,6.927,4.417565730015808
ctran,4.0,80.91,0.039,6.942,20.809,3450.522,0.028,5.366,22.857,4.386632922785402
ctran,3.0,156.78,0.07400000000000001,6.669,21.598,3210.505,0.026,5.968,42.178,4.34159112857092
ctran,2.5,255.7,0.122,6.663,22.768,3820.027,0.124,6.65,63.129,3.9815630254333825
ctran,2.0,406.58,0.19899999999999998,7.675,24.983,5150.824,0.026,7.156,101.674,3.013600034762947
ctran,2.0,10.38,0.091,7.447,21.997,2909.566,0.539,5.849,7.44,4.415848072794587
ctran,2.5,404.65,0.083,6.674,21.799,3018.85,0.552,6.351,103.009,3.0537247061784223
ctran,3.0,406.16,0.038,6.912,20.782,3300.664,0.119,3.314,5.432,3.0536383098179596
ctran,3.0,405.15,0.0,6.774,19.998,32.674,0.001,3.463,6.037,3.06954138046034
ctran,4.5,97.06,0.0,7.705,20.0,32.794,0.05,3.158,5.319,4.382088678513668
ctran,4.5,125.28,0.0,6.803,19.999,32.974,0.453,5.638,6.906,4.3671270498649655
ctran,4.0,158.64,0.03,7.658,20.615,2318.434,0.003,3.685,40.314,4.345268247917326
ctran,3.0,80.23,0.054000000000000006,6.658,21.129,4529.074,0.576,5.889,22.1,4.385555686655754
ctran,2.5,80.86,0.09300000000000001,0.0,22.041,2991.655,0.551,5.554,23.975,4.381510499361787
ctran,2.5,104.23,0.158,6.719,23.752,4082.492,0.632,4.895,22.292,4.362626058318958
ctran,3.0,261.07,0.17600000000000002,6.874,24.267,4540.881,0.576,6.226,66.306,3.9437324951507087
ctran,2.0,405.66,0.145,6.657,23.402,11859.972,0.742,6.067,99.582,3.0323895016171885
ctran,3.0,10.7,0.0,0.001,20.0,168.701,0.2,5.052,28.94,4.4232066188737935
ctran,4.0,39.09,0.055,7.641,21.16,2439.998,0.007,4.611,6.309,4.405683165896024
ctran,4.5,34.17,0.027999999999999997,7.746,20.571,2459.809,0.686,3.73,6.052,4.410332199797297
ctran,4.5,81.11,0.0,6.61,20.0,32.979,0.623,4.113,6.363,4.39021745178831
ctran,4.5,405.18,0.0,7.439,20.0,32.796,0.04,3.541,6.059,3.0693325106562486
ctran,3.0,407.76,0.05,6.626,21.044,4370.396,0.677,6.225,103.128,3.039682422422514
ctran,2.5,405.37,0.076,6.282,21.649,3701.609,0.01,3.837,96.943,3.0503237786059407
ctran,2.0,26.81,0.096,7.724,22.114,5730.295,0.652,5.193,6.636,4.407880790203902
ctran,4.5,179.19,0.0,6.378,19.997,33.45,0.672,5.859,6.827,4.331369671814407
ctran,4.0,155.31,0.028999999999999998,6.584,20.604,2592.122,0.508,4.854,42.753,4.347296880031649
ctran,3.0,82.94,0.061,7.758,21.304,2860.315,0.074,3.646,21.306,4.38349920745753
ctran,2.5,80.09,0.08800000000000001,7.662,21.942,2710.021,0.565,3.578,22.137,4.382387381638748
ctran,2.5,85.95,0.166,7.375,23.992,4229.614,0.638,6.063,32.041,4.3717570634645515
ctran,2.0,156.03,0.11800000000000001,7.628,22.669,4429.687,0.009,3.852,39.249,4.337254765973752
ctran,2.5,292.5,0.113,6.546,22.558,3299.298,0.69,4.608,40.357,3.778716609979688
ctran,3.0,255.0,0.071,0.0,21.524,2768.087,1.25,5.943,64.773,3.9939926217351376
ctran,4.0,153.82,0.036000000000000004,7.585,20.747,2690.058,0.645,4.788,62.893,4.347402641523143
ctran,4.5,255.69,0.0,6.736,20.0,33.416,0.702,5.928,6.685,4.002678360283909
ctran,4.5,30.91,0.0,0.001,19.997,174.557,1.25,4.857,31.044,4.414227099833759
ctran,4.0,75.83,0.0,0.001,20.0,66.36,0.057,4.825,12.838,4.39285570035856
ctran,3.0,263.13,0.0,0.001,20.003,68.231,0.66,4.887,9.034,3.963837148172312
ctran,2.0,403.93,0.001,0.001,19.983,77.893,1.25,3.826,8.935,3.0777982906581074
ctran,2.0,404.92,0.172,0.0,20.916,4020.321,1.237,5.022,99.693,3.031371980333526
ctran,2.5,257.85,0.11900000000000001,0.001,20.062,190.794,0.017,3.59,11.427,3.9708006365740283
ctran,3.0,157.11,0.084,0.001,20.022,180.967,0.61,5.636,31.811,4.340313955481203
ctran,2.5,139.36,0.032,0.001,20.037,180.439,0.809,4.166,15.453,4.356044213802535
ctran,4.5,314.61,0.0,6.171,20.001,36.695,0.728,3.964,6.379,3.668611125325615
ctran,4.0,171.21,0.035,0.001,20.001,182.533,0.093,5.038,30.368,4.337376498786769
ctran,3.0,279.81,0.107,3.263,20.008,40.845,0.187,3.656,5.873,3.8529616070595725
ctran,2.5,280.94,0.105,0.001,20.164,821.814,1.25,5.329,96.577,3.846936174916589
ctran,2.0,10.2,0.10300000000000001,0.0,19.988,187.112,1.25,6.635,33.327,4.414927693752744
ctran,4.5,155.48,0.042,0.002,20.073,308.032,1.25,5.361,69.632,4.34580123189563
ctran,4.0,29.14,0.062,0.001,20.006,68.289,1.25,3.774,8.625,4.409729226498362
ctran,3.0,23.12,0.092,0.001,20.007,187.874,0.011,7.068,34.208,4.409942038913836
ctran,2.5,463.48,0.147,0.001,19.983,182.914,1.25,4.776,29.829,2.624530603368838
ctran,2.0,255.38,0.134,0.005,19.999,40.989,0.247,4.614,7.276,3.981168844537684
ctran,2.0,34.62,0.0,0.001,19.996,199.941,1.25,5.11,30.344,4.412535493977425
ctran,3.0,406.91,0.04,0.001,20.009,182.243,0.258,4.774,32.85,3.0479419457695847
ctran,4.0,405.1,0.0,0.895,20.013,48.285,0.085,3.974,6.773,3.0698894876293092
ctran,4.5,107.34,0.0,0.0,20.018,205.529,0.094,6.989,33.191,4.37672372778423
ctran,3.0,255.44,0.11,0.001,20.043,175.103,0.017,4.007,11.54,3.9849886504161387
ctran,2.0,406.71,0.149,0.0,20.034,200.289,0.74,4.767,32.76,3.0241341204812504
ctran,2.0,165.42,0.0,0.005,19.998,54.697,0.59,4.007,7.274,4.344592250250914
ctran,2.0,271.18,0.0,0.0,20.032,199.261,0.709,5.843,33.181,3.920631989130785
ctran,3.0,264.63,0.0,0.0,20.001,176.232,0.046,4.509,30.581,3.955877944818349
ctran,4.0,169.73,0.0,0.001,20.005,73.747,0.045,4.174,14.776,4.34208642800012
ctran,4.5,263.91,0.001,0.0,20.005,205.212,0.012,5.663,32.458,3.959525450650129
ctran,3.0,271.37,0.133,0.002,20.005,64.089,0.73,6.033,9.881,3.895343880273774
ctran,4.5,406.84,0.14400000000000002,0.001,20.009,197.504,0.573,6.687,32.574,3.0243738735132064
ctran,4.0,68.2,0.0,0.001,20.009,345.271,0.354,8.679,33.911,4.396621622970549
ctran,4.0,35.99,0.069,0.002,20.03,76.987,1.25,3.784,7.259,4.405918647339858
ctran,4.5,41.09,0.0,0.0,20.023,191.787,0.074,6.424,33.065,4.409553563945867
jbui,4.5,18.3,0.001,0.007,0.007,0.007,1.25,1.25,1.25,4.419793813933401
jbui,4.5,113.99,0.036000000000000004,6.869,20.0,33.458,0.062,3.625,5.787,4.3695934211876795
jbui,4.0,153.94,0.055999999999999994,1.15,19.998,33.263,0.009,5.376,6.933,4.345185080961234
jbui,3.0,272.62,0.114,7.54,19.998,32.908,0.744,5.561,6.735,3.89189620304197
jbui,3.0,447.94,0.162,1.077,19.998,33.0,0.027,5.866,7.005,2.730766197507719
jbui,3.0,404.69,0.156,6.578,20.0,32.94,0.082,5.596,6.984,3.0366410330025695
jbui,2.5,300.67,0.121,6.685,19.997,32.865,0.629,5.786,6.627,3.728715690313049
jbui,3.0,164.39,0.063,7.771,20.0,33.367,0.076,3.527,5.714,4.338324959976967
jbui,3.0,91.45,0.026000000000000002,0.0,19.998,80.087,0.487,4.075,9.53,4.382473392002628
jbui,4.5,10.17,0.0,7.533,19.998,32.323,0.543,5.736,6.622,4.423436724917922
jbui,4.0,108.09,0.0,6.887,20.0,33.108,0.151,3.304,5.625,4.3763284768729465
jbui,4.0,404.67,0.0,6.923,20.0,32.944,0.13,3.422,5.557,3.072882734276521
jbui,4.0,415.46,0.037000000000000005,1.154,20.0,32.739,0.039,5.261,6.836,2.988853725351177
jbui,4.0,435.87,0.078,6.645,20.0,33.087,0.018,3.724,5.972,2.835607226786291
jbui,3.0,17.58,0.113,7.584,19.998,32.045,0.547,4.707,6.567,4.410710602302587
jbui,4.0,172.33,0.0,6.947,19.998,33.066,0.041,4.216,6.381,4.340566796348374
jbui,4.5,155.67,0.034,7.609,19.998,32.929,0.027,3.636,5.878,4.346552231956015
jbui,4.0,93.19,0.06,6.422,20.0,33.144,0.008,5.848,6.656,4.378273493007399
jbui,3.0,90.01,0.094,7.642,19.998,32.844,0.706,5.614,6.574,4.376633182533223
jbui,3.0,81.41,0.156,7.707,20.0,33.706,0.078,4.856,6.851,4.375148588918621
jbui,4.5,262.86,0.0,6.647,20.0,33.0,0.003,4.74,6.759,3.965265289693999
jbui,4.0,186.5,0.037000000000000005,0.001,20.0,40.734,0.065,3.185,5.565,4.30176958930491
jbui,4.0,290.16,0.073,7.696,19.998,32.944,0.618,4.215,6.444,3.8001012964199696
jbui,4.0,293.16,0.11,6.765,20.0,33.072,0.682,5.204,6.582,3.7754250131478644
jbui,3.0,166.65,0.11,6.677,19.998,32.874,0.603,3.394,5.628,4.33181642884557
jbui,3.0,35.34,0.03,7.693,20.0,32.109,0.04,5.197,6.677,4.409617411234177
jbui,4.5,77.36,0.049,6.627,20.0,32.911,0.684,3.294,5.602,4.3874901146073295
jbui,4.0,12.92,0.087,7.59,19.998,32.658,0.629,5.098,6.562,4.415035332012573
jbui,4.0,405.12,0.174,1.139,20.0,39.201,0.561,4.342,6.445,3.0295173408279954
jbui,3.0,290.77,0.133,7.483,19.998,32.788,0.609,3.418,5.438,3.784985149768398
jbui,4.0,126.59,0.067,5.572,20.002,32.907,0.529,3.473,5.69,4.359538782386658
jbui,3.0,130.87,0.051,7.678,19.998,32.949,0.088,5.823,6.665,4.358811994473937
jbui,4.0,128.13,0.03,6.822,19.999,33.05,0.413,5.837,6.775,4.362497727981118
jbui,4.5,188.03,0.0,6.653,20.0,34.037,0.008,3.846,6.089,4.3007278930126045
jbui,4.5,85.61,0.10300000000000001,6.76,20.0,32.916,0.04,4.913,6.698,4.3780716352816516
jbui,3.0,151.56,0.079,7.521,19.998,32.518,0.588,5.402,6.822,4.344090424517474
jbui,3.0,435.31,0.039,6.817,20.0,32.927,0.154,5.62,6.704,2.8487227239346047
jbui,4.0,454.08,0.0,6.559,20.0,33.082,0.767,5.838,6.678,2.7253626660482664
jbui,4.0,290.55,0.0,6.628,19.997,33.106,0.081,3.834,6.16,3.8119596072160493
jbui,4.5,120.9,0.0,6.931,20.0,32.895,0.533,5.74,6.795,4.369497378942941
jbui,4.5,10.74,0.0,7.729,19.998,32.595,0.014,3.277,5.632,4.423189241179069
jbui,4.5,79.77,0.03,6.69,19.998,34.155,0.006,3.625,6.117,4.388063461142979
jbui,4.0,171.96,0.073,7.521,19.997,33.023,0.058,5.813,6.74,4.332733548165484
jbui,4.0,258.38,0.132,6.706,20.0,33.641,0.104,5.842,6.766,3.9657435583641143
jbui,3.0,404.9,0.19,6.798,20.0,32.994,0.647,5.825,6.744,3.0273998821647607
jbui,4.0,405.15,0.185,7.766,20.0,33.765,0.054,4.854,7.059,3.026794117761719
jbui,4.0,258.84,0.13,6.551,20.0,33.008,0.099,4.111,6.473,3.9636590535128846
jbui,4.0,195.55,0.054000000000000006,7.009,20.0,33.163,0.072,4.6,6.509,4.266155417673179
jbui,4.0,101.65,0.03,6.712,19.998,44.198,0.074,5.865,7.506,4.376764603031434
jbui,4.5,28.32,0.0,7.571,19.998,32.797,0.636,5.943,6.714,4.4154001145380946
jbui,4.5,160.72,0.0,6.915,20.0,33.35,0.6,5.694,6.723,4.347305916327194
jbui,4.5,153.73,0.04,7.704,20.0,33.136,0.102,3.342,5.706,4.347025312354157
jbui,4.0,140.71,0.069,7.743,20.0,37.131,0.011,3.556,5.602,4.35138994196742
jbui,4.0,80.1,0.096,7.72,20.0,33.04,0.611,3.478,6.21,4.381616886305147
jbui,3.0,82.21,0.158,7.518,20.0,33.17,0.089,3.418,5.499,4.374530465865559
jbui,3.0,297.56,0.157,6.48,19.998,33.121,0.075,5.887,6.809,3.740226895010372
jbui,4.0,405.0,0.18,6.689,20.0,33.169,0.718,5.414,6.887,3.0289843591876204
jbui,4.5,52.13,0.095,7.686,19.998,32.558,0.495,4.769,6.377,4.395828237563123
jbui,4.0,31.47,0.057,7.628,20.0,32.668,0.707,5.647,6.775,4.409078808770629
jbui,4.5,31.34,0.031,7.605,19.998,33.134,0.034,3.906,5.991,4.411379321434595
jbui,3.0,118.19,0.141,6.873,20.0,33.049,0.069,5.718,6.741,4.356601749861333
jbui,3.0,79.36,0.109,6.826,20.0,33.954,0.039,5.54,6.739,4.380755498147254
jbui,4.5,106.58,0.061,6.681,19.998,33.027,0.608,5.795,6.693,4.37107559643225
jbui,4.0,157.26,0.033,6.568,19.999,33.831,0.431,5.888,6.788,4.345742346462668
jbui,4.0,208.27,0.0,6.701,20.0,32.995,0.064,4.68,6.373,4.222877302345843
jbui,3.0,215.11,0.122,2.249,19.998,32.933,0.542,5.832,6.71,4.176743808616452
jbui,4.0,292.34,0.11,7.6,20.0,33.023,0.623,5.853,6.68,3.780235368466719
jbui,4.0,283.27,0.063,6.715,20.0,32.879,0.052,3.194,5.456,3.8416130842163074
jbui,4.5,156.84,0.049,7.739,20.0,32.99,0.055,3.635,5.9,4.344259542002257
jbui,4.5,255.27,0.0,7.755,19.998,32.885,0.589,5.722,6.776,4.004838901338462
jbui,4.5,46.69,0.0,7.45,20.0,33.365,0.075,4.756,6.76,4.40693999270631
jbui,4.5,99.82,0.026000000000000002,7.672,20.0,33.407,0.619,3.674,6.194,4.378118455493655
jbui,4.5,154.96,0.077,6.957,20.0,33.001,0.656,5.536,6.757,4.342328567947909
jbui,3.0,311.41,0.115,6.727,20.0,32.726,0.05,4.46,6.428,3.6647507395647927
jbui,2.0,405.2,0.14800000000000002,7.74,20.0,33.092,0.626,5.628,6.683,3.0349138453574476
jbui,4.0,98.71,0.0,6.9,19.998,33.019,0.623,5.768,6.725,4.381234193860121
jbui,4.0,422.21,0.0,7.536,20.0,33.695,0.052,5.883,6.673,2.950181680372297
jbui,4.0,404.94,0.039,6.898,19.998,33.945,0.648,5.724,6.692,3.0619088118903055
jbui,3.0,460.73,0.16899999999999998,0.0,19.998,118.262,0.541,5.242,14.062,2.638834035662038
jbui,4.0,9.97,0.09699999999999999,6.658,20.0,32.458,0.011,5.736,6.715,4.415532649972122
jbui,3.0,405.22,0.171,7.772,20.0,33.417,0.665,3.388,5.563,3.0295048007992706
jbui,4.5,255.13,0.111,7.671,20.0,32.889,0.021,3.877,6.023,3.9864322579012206
jbui,4.0,155.14,0.06,6.618,19.997,33.103,0.713,5.829,6.885,4.344058942705838
jbui,4.5,101.0,0.033,6.75,19.998,32.944,0.023,4.756,6.881,4.376812068161614
jbui,4.0,20.11,0.0,7.69,19.998,32.959,0.685,5.495,6.877,4.4190752853859685
jbui,4.5,11.18,0.0,1.144,19.998,36.099,0.105,5.821,7.29,4.422997982802714
jbui,4.5,90.01,0.027000000000000003,0.992,20.0,42.096,0.513,5.857,7.326,4.383119841678553
jbui,4.5,168.1,0.06,7.73,19.997,33.109,0.657,5.645,6.75,4.3364635983322195
jbui,3.0,256.72,0.11,6.928,20.0,33.301,0.629,5.766,6.648,3.9782977552434824
jbui,4.0,404.23,0.162,6.643,20.0,32.889,0.001,5.547,6.685,3.038478762330224
jbui,4.0,26.68,0.0,7.732,19.998,32.567,0.587,3.658,5.755,4.4161395013360885
jbui,4.0,23.45,0.043,0.0,19.998,44.825,0.699,5.91,7.837,4.413965065918051
jbui,4.0,22.99,0.086,7.543,20.0,32.762,0.614,5.946,6.842,4.410515750054752
jbui,3.0,446.92,0.168,7.669,20.0,32.88,0.731,3.265,5.33,2.736584138630933
jbui,2.5,255.67,0.15,5.673,21.02,3710.171,0.066,4.235,63.919,3.9768949837266723
jbui,4.0,190.71,0.0,6.911,19.998,33.015,0.599,5.732,6.645,4.291025619973845
jbui,4.0,182.59,0.037000000000000005,6.54,21.022,3908.675,0.097,5.949,40.865,4.315552074770224
jbui,4.0,79.56,0.071,7.519,19.998,32.941,0.059,5.697,6.834,4.3842819773622885
jbui,4.0,80.0,0.002,0.002,21.967,5139.344,0.976,4.788,21.66,4.390586310792159
jbui,4.0,80.23,0.044000000000000004,3.957,23.561,7111.73,0.736,6.026,21.9,4.386504823286778
jbui,4.5,13.06,0.109,7.492,19.997,32.689,0.649,5.212,6.681,4.413124179092631
jbui,4.5,408.0,0.078,6.927,21.053,4240.496,0.623,4.787,100.683,3.031502382914973
jbui,4.0,408.61,0.042,6.613,19.997,33.378,0.155,5.842,6.686,3.035610529074581
jbui,3.0,441.44,0.0,6.481,20.0,33.081,0.692,3.513,5.69,2.8146669084648597
jbui,4.0,80.42,0.0,6.905,20.0,33.311,0.528,5.72,6.736,4.390563715734639
jbui,4.0,290.35,0.0,6.529,20.0,33.14,0.612,5.806,6.81,3.813113930119747
jbui,4.0,152.27,0.034,6.842,19.998,33.129,0.589,5.519,6.921,4.348506971148139
jbui,4.5,310.53,0.064,7.654,19.998,32.93,0.051,5.318,6.79,3.6804891396517405
jbui,3.0,280.7,0.121,6.901,19.997,33.371,0.699,4.174,6.421,3.84529975271853
jbui,4.5,204.48,0.111,6.542,20.0,32.985,0.521,5.822,6.681,4.223258920054472
jbui,2.5,470.9,0.17600000000000002,7.639,19.998,32.799,0.537,3.826,6.203,2.565587674862007
jbui,4.0,299.13,0.12,7.687,19.998,33.825,0.547,5.482,6.901,3.7381224408207054
jbui,4.0,168.11,0.068,0.0,19.998,195.231,0.03,5.918,17.916,4.335577419085786
jbui,4.5,111.14,0.028999999999999998,6.668,20.0,32.934,0.001,3.828,5.974,4.371825627468139
jbui,4.0,14.43,0.0,2.201,19.996,33.135,1.066,5.943,6.732,4.4215793928993
jbui,4.0,90.44,0.0,6.682,20.0,39.448,0.064,5.818,6.816,4.385491427889945
jbui,4.0,406.44,0.0,1.054,20.0,39.37,0.564,4.238,6.298,3.060556288858618
jbui,3.0,405.36,0.055999999999999994,7.742,20.0,32.711,0.657,3.393,6.273,3.0550309978998715
jbui,3.0,412.4,0.078,6.642,20.001,33.572,0.713,4.308,6.24,3.0007274184360195
jbui,4.5,11.96,0.11699999999999999,6.838,19.998,32.618,0.016,5.858,6.665,4.412952920671429
jbui,4.0,429.02,0.221,7.596,19.998,33.035,0.597,5.584,6.818,2.8508015398371045
jbui,3.0,255.08,0.136,6.454,20.934,3880.393,0.02,6.093,65.743,3.9823927926880316
jbui,2.5,169.78,0.06,6.789,20.0,33.006,0.03,3.743,5.781,4.335468112044392
jbui,4.0,117.74,0.027999999999999997,7.587,19.998,33.149,0.557,3.835,6.125,4.3683744751068625
jbui,4.0,35.23,0.0,7.546,19.998,32.052,0.013,5.847,6.592,4.412256082375411
jbui,4.0,23.46,0.0,7.622,20.002,32.953,0.536,4.749,6.408,4.417583607248201
jbui,4.5,126.8,0.039,7.46,20.0,32.825,0.704,5.216,6.664,4.362305508783024
jbui,4.0,159.26,0.07400000000000001,7.592,20.0,32.869,0.065,5.347,6.689,4.340139894949469
jbui,4.0,255.62,0.122,1.114,19.998,41.434,0.499,5.855,7.534,3.98198117005686
jbui,3.0,433.87,0.19899999999999998,0.0,20.0,229.423,0.706,4.524,18.988,2.821622362780966
jbui,4.0,9.94,0.091,6.88,19.995,33.067,0.693,3.846,6.06,4.416046276715114
